from,to,weight
0,1,0.07692307692307693
0,2,0.07692307692307693
0,5,0.15384615384615385
0,6,0.07692307692307693
0,7,0.07692307692307693
0,8,0.15384615384615385
0,9,0.38461538461538464
1,2,0.08333333333333333
1,3,0.08333333333333333
1,4,0.25
1,5,0.16666666666666666
1,6,0.25
1,8,0.16666666666666666
2,1,0.08333333333333333
2,2,0.16666666666666666
2,3,0.16666666666666666
2,4,0.16666666666666666
2,6,0.16666666666666666
2,7,0.08333333333333333
2,8,0.08333333333333333
2,9,0.08333333333333333
3,0,0.07692307692307693
3,1,0.07692307692307693
3,2,0.23076923076923078
3,4,0.23076923076923078
3,6,0.07692307692307693
3,7,0.07692307692307693
3,8,0.07692307692307693
3,9,0.15384615384615385
4,0,0.16666666666666666
4,1,0.08333333333333333
4,2,0.08333333333333333
4,4,0.08333333333333333
4,7,0.3333333333333333
4,8,0.08333333333333333
4,9,0.16666666666666666
5,0,0.25
5,1,0.16666666666666666
5,3,0.08333333333333333
5,4,0.08333333333333333
5,6,0.16666666666666666
5,7,0.08333333333333333
5,8,0.08333333333333333
5,9,0.08333333333333333
6,0,0.08333333333333333
6,1,0.08333333333333333
6,3,0.16666666666666666
6,4,0.08333333333333333
6,5,0.3333333333333333
6,8,0.16666666666666666
6,9,0.08333333333333333
7,0,0.08333333333333333
7,1,0.25
7,2,0.16666666666666666
7,3,0.16666666666666666
7,6,0.16666666666666666
7,7,0.08333333333333333
7,9,0.08333333333333333
8,0,0.16666666666666666
8,1,0.08333333333333333
8,3,0.16666666666666666
8,5,0.16666666666666666
8,6,0.08333333333333333
8,7,0.25
8,8,0.08333333333333333
9,0,0.23076923076923078
9,1,0.07692307692307693
9,2,0.15384615384615385
9,3,0.23076923076923078
9,4,0.07692307692307693
9,5,0.15384615384615385
9,8,0.07692307692307693
